"Leeftijd";"Marges";"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Hoog risico op angst of depressie (%)";"Moeite met rondkomen (%)"
"18 tot 65 jaar";"Waarde";"2012";"Vervoerscentrum";"Amsterdam                               ";"Buurt     ";"BU03631004          ";"       .";"       ."
"18 tot 65 jaar";"Waarde";"2012";"Amerikahaven";"Amsterdam                               ";"Buurt     ";"BU03631005          ";"     9.3";"    48.0"
"18 tot 65 jaar";"Waarde";"2012";"Afrikahaven";"Amsterdam                               ";"Buurt     ";"BU03631006          ";"       .";"       ."
"18 tot 65 jaar";"Waarde";"2012";"Westhaven Zuid";"Amsterdam                               ";"Buurt     ";"BU03631007          ";"       .";"       ."
"18 tot 65 jaar";"Waarde";"2012";"Bedrijventerrein Sloterdijk";"Amsterdam                               ";"Wijk      ";"WK036311            ";"     9.0";"    38.9"
"18 tot 65 jaar";"Waarde";"2012";"Sloterdijk II";"Amsterdam                               ";"Buurt     ";"BU03631100          ";"    14.1";"    53.6"
"18 tot 65 jaar";"Waarde";"2012";"Sloterdijk III Oost";"Amsterdam                               ";"Buurt     ";"BU03631102          ";"       .";"       ."
"18 tot 65 jaar";"Waarde";"2012";"Sloterdijk III West";"Amsterdam                               ";"Buurt     ";"BU03631103          ";"     8.2";"    43.3"
"18 tot 65 jaar";"Waarde";"2012";"De Heining";"Amsterdam                               ";"Buurt     ";"BU03631104          ";"     5.2";"    25.6"
"18 tot 65 jaar";"Waarde";"2012";"Teleport";"Amsterdam                               ";"Buurt     ";"BU03631105          ";"    10.0";"    33.4"
"18 tot 65 jaar";"Waarde";"2012";"Bretten Oost";"Amsterdam                               ";"Buurt     ";"BU03631107          ";"       .";"       ."
"18 tot 65 jaar";"Waarde";"2012";"Bretten West";"Amsterdam                               ";"Buurt     ";"BU03631109          ";"       .";"       ."
"18 tot 65 jaar";"Waarde";"2012";"Houthavens";"Amsterdam                               ";"Wijk      ";"WK036312            ";"     7.0";"    36.0"
"18 tot 65 jaar";"Waarde";"2012";"Houthavens West";"Amsterdam                               ";"Buurt     ";"BU03631200          ";"     7.7";"    41.6"
"18 tot 65 jaar";"Waarde";"2012";"Houthavens Oost";"Amsterdam                               ";"Buurt     ";"BU03631201          ";"     5.5";"    24.8"
"18 tot 65 jaar";"Waarde";"2012";"Spaarndammer- en Zeeheldenbuurt";"Amsterdam                               ";"Wijk      ";"WK036313            ";"     9.6";"    40.0"
